Date,High,Low,Close
09-04-2021,556.900024,547.109985,555.309998
12-04-2021,557.97998,549.580017,552.780029
13-04-2021,559.75,550.299988,553.72998
14-04-2021,554.869995,538.530029,540.02002
15-04-2021,553.48999,542.659973,549.219971
16-04-2021,551.97998,539.51001,546.539978
19-04-2021,556.440002,545.530029,554.440002
20-04-2021,563.559998,546.299988,549.570007
21-04-2021,515.460022,503.600006,508.899994
22-04-2021,513.960022,500.549988,508.779999
23-04-2021,509.700012,500.700012,505.549988
26-04-2021,510.480011,503,510.299988
27-04-2021,512.98999,504.579987,505.549988
28-04-2021,508.399994,503.339996,506.519989
29-04-2021,509.290009,499,509
30-04-2021,514.549988,505,513.469971
03-05-2021,518.950012,505.200012,509.109985
04-05-2021,511.630005,496.790009,503.179993
05-05-2021,507.779999,494.630005,496.079987
06-05-2021,499.549988,491.369995,499.549988
07-05-2021,508.549988,501.119995,503.839996
10-05-2021,503.149994,486.109985,486.690002
11-05-2021,497.98999,478.630005,495.079987
12-05-2021,493.540009,482.700012,484.980011
13-05-2021,490.779999,482.709991,486.660004
14-05-2021,494.850006,486.589996,493.369995
17-05-2021,492.709991,482.809998,488.940002
18-05-2021,493.480011,486.190002,486.279999
19-05-2021,488.570007,478.540009,487.700012
20-05-2021,502.700012,488.980011,501.670013
21-05-2021,505.399994,497.26001,497.890015
24-05-2021,504.25,499.51001,502.899994
25-05-2021,506.369995,499.220001,501.339996
26-05-2021,504.140015,500.5,502.359985
27-05-2021,505.100006,498.540009,503.859985
28-05-2021,511.76001,502.529999,502.809998
01-06-2021,505.410004,497.73999,499.079987
02-06-2021,503.220001,495.820007,499.23999
03-06-2021,496.660004,487.25,489.429993
04-06-2021,501.859985,490.950012,494.73999
07-06-2021,496.700012,490.549988,494.660004
08-06-2021,498.820007,489.369995,492.390015
09-06-2021,496.089996,484.649994,485.809998
10-06-2021,490.209991,482.140015,487.269989
11-06-2021,491.410004,487.779999,488.769989
14-06-2021,503.5,486.910004,499.890015
15-06-2021,501.230011,490.399994,491.899994
16-06-2021,496.459991,486.279999,492.410004
17-06-2021,501.799988,490.149994,498.339996
18-06-2021,504.48999,495.23999,500.769989
21-06-2021,502.049988,492.279999,497
22-06-2021,513.549988,495.799988,508.820007
23-06-2021,516.630005,508.200012,512.73999
24-06-2021,520.960022,514.400024,518.059998
25-06-2021,533.059998,525,527.070007
28-06-2021,533.940002,524.559998,533.030029
29-06-2021,536.130005,528.570007,533.5
30-06-2021,534.380005,526.820007,528.210022
01-07-2021,537.039978,525.719971,533.539978
02-07-2021,538.539978,529.390015,533.97998
06-07-2021,542.859985,533,541.640015
07-07-2021,544.640015,531.659973,535.960022
08-07-2021,535.5,529.090027,530.76001
09-07-2021,538.26001,528.580017,535.97998
12-07-2021,540.650024,532.919983,537.309998
13-07-2021,545.330017,535.76001,540.679993
14-07-2021,554.099976,541.01001,547.950012
15-07-2021,557.539978,538.200012,542.950012
16-07-2021,544.059998,527.049988,530.309998
19-07-2021,534.909973,522.23999,532.280029
20-07-2021,536.640015,520.299988,531.049988
21-07-2021,530.98999,505.609985,513.630005
22-07-2021,513.679993,507,511.769989
23-07-2021,517.409973,504.660004,515.409973
26-07-2021,521.130005,509.01001,516.48999
27-07-2021,521.950012,512.049988,518.909973
28-07-2021,524.469971,516.97998,519.299988
29-07-2021,520.780029,513.789978,514.25
30-07-2021,519.789978,510.959991,517.570007
02-08-2021,519.849976,510.51001,515.150024
03-08-2021,515.630005,505.369995,510.820007
04-08-2021,517.97998,510.369995,517.349976
05-08-2021,525.409973,514.02002,524.890015
06-08-2021,526.840027,519.390015,520.549988
09-08-2021,522.669983,517.98999,519.969971
10-08-2021,520.789978,512.969971,515.840027
11-08-2021,519.570007,509.769989,512.400024
12-08-2021,513,507.200012,510.720001
13-08-2021,521.440002,511.51001,515.919983
16-08-2021,523.380005,512.299988,517.919983
17-08-2021,520.789978,514.200012,518.909973
18-08-2021,526.380005,518.650024,521.869995
19-08-2021,548.390015,521.869995,543.710022
20-08-2021,551.390015,539.099976,546.880005
23-08-2021,555.549988,543.73999,553.330017
24-08-2021,555.309998,549.27002,553.409973
25-08-2021,552.840027,545.450012,547.580017
26-08-2021,552.599976,545.900024,550.119995
27-08-2021,564.169983,549.25,558.919983
30-08-2021,567.159973,556.450012,566.179993
31-08-2021,569.47998,561.609985,569.190002
01-09-2021,591,569,582.070007
02-09-2021,598.76001,583.679993,588.549988
03-09-2021,591.880005,583.140015,590.530029
07-09-2021,613.849976,593.98999,606.710022
08-09-2021,615.599976,595.710022,606.049988
09-09-2021,609.440002,596.549988,597.539978
10-09-2021,609.450012,593.669983,598.719971
13-09-2021,598.570007,582.780029,589.289978
14-09-2021,587.280029,575.559998,577.76001
15-09-2021,584.619995,575.369995,582.869995
16-09-2021,587.47998,577.719971,586.5
17-09-2021,590.280029,580.849976,589.349976
20-09-2021,591.530029,568.080017,575.429993
21-09-2021,581.880005,569.369995,573.140015
22-09-2021,595.650024,579.690002,590.650024
23-09-2021,599.320007,589.130005,593.26001
24-09-2021,592.97998,583.640015,592.390015
27-09-2021,593.580017,576.929993,592.640015
28-09-2021,599.539978,580.159973,583.849976
29-09-2021,609.880005,588.01001,599.059998
30-09-2021,619,608.049988,610.340027
01-10-2021,614.98999,597.51001,613.150024
04-10-2021,626.130005,594.679993,603.349976
05-10-2021,640.390015,606.890015,634.809998
06-10-2021,639.869995,626.359985,639.099976
07-10-2021,646.840027,630.450012,631.849976
08-10-2021,643.799988,630.859985,632.659973
11-10-2021,639.419983,626.780029,627.039978
12-10-2021,637.659973,621.98999,624.940002
13-10-2021,632.179993,622.099976,629.76001
14-10-2021,636.880005,626.789978,633.799988
15-10-2021,639.419983,625.159973,628.289978
18-10-2021,638.409973,620.590027,637.969971
19-10-2021,641,632.299988,639
20-10-2021,637.400024,617.150024,625.140015
21-10-2021,654.01001,628.650024,653.159973
22-10-2021,665.460022,651.809998,664.780029
25-10-2021,675.880005,657.070007,671.659973
26-10-2021,676.48999,662.77002,668.52002
27-10-2021,671.409973,661.849976,662.919983
28-10-2021,676.799988,668.030029,674.049988
29-10-2021,690.969971,671.23999,690.309998
01-11-2021,689.969971,676.539978,681.169983
02-11-2021,687.679993,673.820007,677.719971
03-11-2021,689.390015,677.27002,688.289978
04-11-2021,685.940002,665.5,668.400024
05-11-2021,665.640015,645.01001,645.719971
08-11-2021,656,643.789978,651.450012
09-11-2021,660.5,650.52002,655.98999
10-11-2021,660.330017,642.109985,646.909973
11-11-2021,665.820007,649.710022,657.580017
12-11-2021,683.340027,653.820007,682.609985
15-11-2021,685.26001,671.48999,679.330017
16-11-2021,688.359985,676.900024,687.400024
17-11-2021,700.98999,686.090027,691.690002
18-11-2021,691.73999,679.73999,682.02002
19-11-2021,694.159973,675,678.799988
22-11-2021,679.47998,656.469971,659.200012
23-11-2021,666.429993,646.049988,654.059998
24-11-2021,661.440002,651.099976,658.289978
26-11-2021,676.409973,660.669983,665.640015
29-11-2021,667.98999,658.289978,663.840027
30-11-2021,675.380005,640.01001,641.900024
01-12-2021,654.52002,617.070007,617.77002
02-12-2021,625.359985,612.880005,616.469971
03-12-2021,625.5,594,602.130005
06-12-2021,617.289978,601,612.690002
07-12-2021,628.890015,611.400024,625.580017
08-12-2021,632.460022,623.200012,628.080017
09-12-2021,630.23999,610.440002,611
10-12-2021,617.73999,605.880005,611.659973
13-12-2021,612.640015,599.52002,604.559998
14-12-2021,602.289978,588.130005,597.98999
15-12-2021,605.690002,584.51001,605.039978
